text,label,platform,category
"Congratulations! Your profile on Naukri has been shortlisted for a Senior Software Engineer role at Amazon India. CTC: ₹45 LPA. To confirm your interview slot, verify your identity immediately at: bit.ly/amzn-naukri-verify",scam,Naukri,phishing_link
"URGENT: Your Naukri.com account will be deactivated within 24 hours due to inactivity. Click here to verify your profile and continue receiving job alerts: tinyurl.com/naukri-reactivate2024",scam,Naukri,account_suspension
"Dear Candidate, You have been selected for a Walk-In Interview at Infosys BPO. Salary: ₹28,000/month. To confirm your slot, pay ₹500 registration fee via UPI: naukri.hr@okicici",scam,Naukri,fee_fraud
"Naukri Recruiter Alert: TCS HR Team here. Your resume has been shortlisted. To receive your offer letter, complete your KYC by sending Aadhaar + PAN to: tcs.recruitment2024@gmail.com",scam,Naukri,data_theft
"Your Naukri profile matched a Work From Home opening at Wipro. Salary ₹55,000/month. No experience needed. Register here before tonight: t.me/wipro_wfh_india",scam,Naukri,telegram_scam
"Naukri Job Alert: 500 openings at Reliance Industries for immediate joiners. Pay ₹850 processing fee to confirm application. Limited slots: paytm.me/reliance.jobs",scam,Naukri,fee_fraud
"Hi, I represent Naukri Talent Solutions. Your resume score is 42/100. Upgrade for ₹299 and get guaranteed interview calls from top MNCs within 48 hours: bit.ly/naukri-boost",scam,Naukri,fake_upgrade
"FINAL REMINDER from Naukri: Your application for HCL Technologies expires in 12 hours. Pay ₹999 onboarding fee to secure your position: tinyurl.com/hcl-onboard-now",scam,Naukri,urgency_fee
"Naukri.com Special Offer: Get 100 direct recruiter contacts for just ₹99. Offer expires at midnight. Pay now and get interview calls tomorrow: bit.ly/naukri-99-offer",scam,Naukri,fake_upgrade
"Your Naukri profile has been BLOCKED due to suspicious login activity. To restore access immediately, verify your mobile OTP and bank account at: naukri-secure-verify.in",scam,Naukri,phishing_link
"Naukri Mass Hiring: Capgemini is hiring 200 freshers directly — no interview required. Pay ₹750 background check fee to confirm joining: tinyurl.com/capgemini-fresher-direct",scam,Naukri,fee_fraud
"Dear Job Seeker, Your resume on Naukri was shortlisted by Deloitte India for HR Executive role. CTC ₹6.5 LPA. To release appointment letter, transfer ₹2000 security deposit to account 9876543210 IFSC HDFC0001234",scam,Naukri,fee_fraud
"Naukri Recruitment: You are selected for Data Entry work from home. Earn ₹800/hour. Send Aadhaar number and bank passbook photo to confirm joining: hr.naukri.datajobs@gmail.com",scam,Naukri,data_theft
"Congratulations from Naukri! You have been shortlisted by Accenture for Business Analyst role. Pay ₹1500 document processing fee to gpay/accenture.naukri.recruit to receive your joining kit",scam,Naukri,fee_fraud
"NAUKRI ALERT: Your saved jobs are expiring. Renew your Naukri Premium membership for ₹199 to keep applying. Pay now: bit.ly/naukri-renew-premium",scam,Naukri,fake_upgrade
"Your Naukri profile is active and has received 12 new views this week from recruiters at MNCs. Log in to check your applications: naukri.com/mynaukri",ham,Naukri,job_alert
